"gene.name","Oligodendro","Microglia","aNSC_NPC","Astrocyte_qNSC","Neuroblast","Endothelial"
"Xkr4",-0.0223538297671239,0,0,0,0.0472063645595214,-0.0135905926331853
"Gm1992",0,0,0,0,0,0
"Gm37381",0,0,0,0,0,0
"Rp1",0,0,0,0,0,0
"Sox17",0,0,0,0,0,0
"Gm37323",0,0,0,0,0,0
"Mrpl15",0,0,0,0,0,0
"Lypla1",0,0,0,0,0,0
"Gm37988",0,0,0.0256982470514206,0,0,0
"Tcea1",0,0,0,0,0,0
"Rgs20",0,0,0,0,0,0
"Gm16041",0,0.0959379713364751,0,0,0,0
"Atp6v1h",0,0,0,0,0,0
"Oprk1",0,-0.684039315702135,0,0,0,0
"Npbwr1",0,0,0,0,0,0
"Rb1cc1",0,-0.00017214276799649,0,0,0,-0.00427940817444351
"4732440D04Rik",-0.00222742049257866,0,0,0,0,0
"Alkal1",0,0,0,0,0,0
"St18",0,0,0,0,0,0
"Pcmtd1",0,0,0,0,0,0
"Gm26901",0,0,0,-0.00642679302767584,0,0
"Gm30414",0,0,0,0,0,0
"Sntg1",0,1.77103856055891,0,0,0,0
"Rrs1",0,-0.0155050645688794,0,0,0,0
"Adhfe1",0,0,0,0,0,0
"3110035E14Rik",0,0,0,0,0.177016748968713,0
"Gm29520",0,0,0,0,0,0
"Mybl1",0,0,0,0,0,0
"Vcpip1",0,-0.0127575567815294,0,0,0,0
"1700034P13Rik",0,0,0,0,0,0
"Sgk3",0,0,0,0,0,0
"Mcmdc2",0,0,0,0,0,0
"Snhg6",-0.00753905641325121,-0.0203160506170035,0,0,0,0
"Tcf24",0,0,0,0,0.272930049531854,0
"Ppp1r42",0.0325065457793958,0,0,0,0,0
"Gm15818",0,0,0,0,0,0
"Cops5",0,0,0,0,0,0
"Cspp1",0,0,0,0,0,0
"Arfgef1",0,0,0,0,0,0
"Cpa6",0,0,0,0,0,0
"Prex2",0,0,0,0,0,0
"A830018L16Rik",0,0.302945396424736,0,0,0,0
"Gm17644",0,0,0,0,0,0
"Gm29663",0,0,0,0,0,0
"Sulf1",0,-0.0673689431148669,0,0.0232457919458821,0,0
"Slco5a1",0,0,0,0,0,0
"Gm29283",0,0,0,0,0,0
"Prdm14",0,0,0,0,0,0
"Ncoa2",0,-0.0550972170697139,0,0,0,0
"Gm29570",0,0,0,0,0,0
"Tram1",0,0,0.0291352326404451,0,0,0
"Lactb2",0,0,0,0,0,0
"Xkr9",0,0,0,0,0,0
"Eya1",0,0,0,0,0.00397634667440814,0
"Gm9947",0,0,0,0,-0.277407485605369,0
"Msc",0,0,0,0,0,0
"Trpa1",0,0,0,0,0,0
"Kcnb2",0,0,0,0,0,0
"Terf1",0,0,0,0,0,0
"Sbspon",0,0,0,0,0,0
"4930444P10Rik",0,0,0,0,0,0
"Rpl7",0,0,0,0,0,0
"Rdh10",-0.0041700178645137,0,0,0,0,0
"Gm28095",0,0,0,0,0,0
"Stau2",0,0,0,0,0,-0.0362475374898662
"Gm7568",0,0,0,0,0,0
"Ube2w",0.00872383290553059,-0.0238594895904118,0,0,0,0
"Eloc",0,0,0,0,0,0
"D030040B21Rik",0,0,0,0,0,0
"Tmem70",0,0,0,0,0,0
"Ly96",0,0,0,0,0,0
"Gm28376",0,0,0,0,0,0
"Jph1",0,0,0,0,0,0
"Gm28783",0,0,0,0,0,0
"Gdap1",0,-0.0529403926118418,0,0,0,0
"Gm28784",0,0,0,0,0,0
"Pi15",0,0,0,0,0,0
"Gm28154",0,0,0,0,0,0
"Gm16070",0,0,0,0,0,0
"Crispld1",0,0,0,0,0,0
"Gm28153",0,0,0,0,0,0
"Crisp4",0,0,0,0,0,0
"Defb18",0,0,0,0,0,0
"Defb41",0,0,0,0,0,0
"Gm15825",0,0,0,0,0,0
"Tfap2d",0,0,0,0,0,0
"Tfap2b",0,0,0,0,0,0
"Gm28340",0,0,0,0,0,0
"Pkhd1",0,0,0,0,0,0
"4930486I03Rik",0,0,0,0,0,0
"Gm28653",0,0,0,0,0,0
"Il17a",0,0,0,0,0,0
"Il17f",0,0,0,0,0,0
"Mcm3",0,0,0,0.0549132345595914,0,0
"Gm28065",0,0,0,0,0,0
"6720483E21Rik",0,0,0,0,0,0
"Paqr8",0,0,0,0,0,0
"Efhc1",0,0,0,0,0,0
"Tram2",0,-0.00365032779820486,0,0,0,0
"Gm28287",0,0,0,0,0,0
"Tmem14a",0,0,0,0,0,0
"Gsta3",0,0,0,0,0,0
"Gm28836",0,0,0,0,0,0
"Khdc1a",0,0,0,0,0,0
"Khdc1c",0,0,0,0,0,0
"Khdc1b",0,0,0,0,0,0
"Kcnq5",0,0,0,0,-0.12357388402644,0
"Gm26580",0,0,0,0,0,0
"Rims1",0,0,0,0,0,0
"4933415F23Rik",0,0,0,0,0,0
"Gm27028",0,0,0,0,0,0
"Gm29107",0,-0.0951059457701206,0,-0.0495147837408468,0,0
"Ogfrl1",0,0,0,0,0,0
"Gm28822",0,0,0,0,0,0
"B3gat2",0,0,0,0,0,0
"Smap1",0,0,0,0,0,0
"Sdhaf4",0,0,0,0,0,0
"Fam135a",0,0,0,0,0,0
"Col9a1",0,0,0,0,0,0
"Col19a1",0,0,0,0,0,0
"Lmbrd1",0,0,0,0,0,0
"Gm28237",0,0,0,0,0,0
"Gm29414",0,0,0,0,0,0
"Adgrb3",0,0,0,0,0,0
"4931408C20Rik",0,0,0,0,0,0
"Gm5524",0,0,0,0,0,0
"Gm597",0,0,0,0,0,0
"Gm9898",0,0,0,0,0,0
"Phf3",0,0,0,0,0,0
"Ptp4a1",0,0,0,0,0,0
"Gm29669",0,0,0,0,0,0
"Gm28644",0,0,0,0,0,0
"4931428L18Rik",0,0,0,0,0,0
"Gm29128",0,0,0,0,0,0
"Lgsn",0,0,0,0,0,0
"Pih1d3",0,0,0,0,0,0
"Khdrbs2",-0.0320612598812865,0,0,0,0,0
"Gm5415",0,0,0,0,0,0
"Gm37724",0,0,0,0,0,0
"Gm37591",0,0,0,0,0,0
"Prim2",0,0,0,0,0,0
"Rab23",0,0,0,0,0,0
"Bag2",0,0,0.0536165050020241,0,0,0
"Zfp451",0,0,0,0,0,0
"Bend6",0,0,0,0,0,-0.264735147623174
"Dst",0,0.00811907358114157,0,0,0,0
"Gm37958",0,0,0,0,0,0
"Gm37233",0,0,0,0,0,0
"Ccdc115",0,0,0,0,0,0
"Gm28306",0,0,0,0,0,0
"Imp4",0,0,0,0,0,0
"Ptpn18",0,0,0,0,0,-0.247310898201103
"4930568A12Rik",0,0,0,0,0,0
"Prss39",0,0,0,0,0,0
"Cfc1",0,0,0,0,0,0
"Prss40",0,0,0,0,0,0
"1700101I19Rik",0,0,0,0,0,0
"Amer3",0,0,-0.15043063484514,0,0,0
"Arhgef4",0,0,0,0,0,0
"Gm38336",0,0,0,0,0,0
"Fam168b",0,0,0,0,0,0
"Plekhb2",0,0,0,0,0,0
"Gm37068",0,0,0,0,0,0
"Gm28415",0,0,0,0,0,0
"1110002O04Rik",0,-0.0360549539399205,0,0,0,0
"Gm37146",0,0,0,0,0,0
"Gm33222",0,0,0,0,0,0
"4930535G08Rik",0,0,0,0,0,0
"Hs6st1",0,0,0,0,0,0
"Gm37335",0,0,0,0,0,0
"Gm33280",0,0,0,0,0,0
"Uggt1",0,0,0,0,-0.0154126154646017,0
"Neurl3",0,0.225997631697504,0,0,0,0
"Arid5a",0,0,0,0,0,0
"4930403P22Rik",0,0.074579898031913,0,0,0,0
"Kansl3",0,0,0,0,0,0
"Fer1l5",0,0,0,0,0,0
"Lman2l",0,0.0451620632221982,0,0,0,0
"Cnnm4",0,0,0,0,0,0
"Cnnm3",0,0,0,0,0,0
"Gm38033",0.18877405073739,0,0,0,0,0
"Ankrd23",0,0,0,0,0,0
"Gm42417",0,0,0,0,0,0
"Ankrd39",0,0,0,0,0,0
"Sema4c",0,0,0,0,0,0
"Fam178b",0,0,0,0,0,-0.675465590958601
"Cox5b",0,0,0,0,0,0
"Actr1b",0,0,0,0,0,-0.00860146830342035
"4933424G06Rik",0,0,0,0,0,0
"Gm33533",0.0804093812904766,0,0,0,0,0
"Zap70",0,0,0,0,0,0
"Tmem131",0,0,0.0423452809143569,0,0,0
"Vwa3b",0,0,0,0,0,0
"Gm37020",0,0,0,0,0,0
"Cnga3",0,0,0,0,0,0
"Inpp4a",0,0,0,0,0,0
"4930439A04Rik",0,0,0,0,0,0
"Coa5",0,0,0,0,0.000222029640313103,0
"Unc50",0,0,0,0,0,0
"Mgat4a",0,-0.330645435788856,0,0,0,0
"2010300C02Rik",0,0,0,0,0,0
"4930556I23Rik",0,0,0,0,0,0
"Tsga10",0,-0.030617905691777,0,0,0,0
"Gm26805",0,0,0,0,0,0
"Lipt1",-0.00205277895481665,0,0,0,0,0
"Mitd1",0,-0.00914208981874027,0,0,0,0
"Mrpl30",0,0,0,0,0,0
"Lyg2",0,0,0,0,0,0
"Gm15457",0,0,0,0,0,0
"Lyg1",0,0,0,0,0,0
"Txndc9",0,0,0,0,0,0
"Eif5b",0,0,-0.00989928282312843,0,0,0
"Rev1",0,0,0,0,0.0242903422192916,0
"Gm5099",0,0,0,0,0,0
"Aff3",0,0,0,0,0,0
"Gm16150",0,0,0,0,0,0
"Gm16151",0,0,0,0,0,0
"Gm16152",0,0,0,0,0,0
"Lonrf2",0,0,0,0,0,0
"Chst10",0.0551353217606052,0,0,0,0,0
"Gm37707",0,0,0,0,0,0
"Nms",0,0,0,0,0,0
"Pdcl3",0,-0.0123500359515643,0,0,0,0
"Gm37821",0,0,0,0,0,0
"Npas2",0,0,0,0,0,0
"Rpl31",0,0,0,0,0,0
"Tbc1d8",0.959262624897116,0,0,0,0,0
"Cnot11",0,0,0,0,0,0
"Rnf149",0,0.000409312057905495,0,0,0,0
"Creg2",0,0,0,0,0,0
"D930019O06Rik",0,-0.167445281519496,0,0,0,0
