"gene.name","Oligodendro","Microglia","aNSC_NPC","Astrocyte_qNSC","Neuroblast","Endothelial"
"Xkr4",0,0,0,0,0,0
"Gm1992",0,0,0,0,0,0
"Gm37381",0,0,0,0,0,0
"Rp1",0,0,0,0,0,0
"Sox17",0,0,0,0,2.12695012144569e-05,0
"Gm37323",0,0,0,0,0,0
"Mrpl15",0,0,0,0,0,0
"Lypla1",0,0,0,0,0,0
"Gm37988",0,0,0,0,0,0
"Tcea1",0,0,0,0,0,0
"Rgs20",0,0,0,2.0922091498416e-07,0,0
"Gm16041",0,-0.000293193756015551,0,0.00126435778379144,0,0
"Atp6v1h",0,0,0,0,0,0
"Oprk1",0,0,0,0,0,0
"Npbwr1",0,0,0,0,0,0
"Rb1cc1",0,0,0,0,0,0.000153219987725447
"4732440D04Rik",0.00144931468695697,0,0,0.00179189721755925,-4.24067626065358e-05,0
"Alkal1",0,0,0,0,0,0
"St18",-3.36289804447103e-06,0,0,0,0,0
"Pcmtd1",0,0,0,0,0,0
"Gm26901",0,0,0,0,0,0
"Gm30414",0,0,0,0,0,0
"Sntg1",0,-0.00156563114273108,0,0,0,0
"Rrs1",-1.89085055886905e-05,2.212495744398e-05,0,0,0,0
"Adhfe1",0,0,0,0,0,0
"3110035E14Rik",0,0,0,0,0,0
"Gm29520",0,0,0,0,0,0
"Mybl1",0,0,0,0,0,0
"Vcpip1",0,0.000560557973780237,0,0,0.000184558395234187,0
"1700034P13Rik",0,0,0,0,0,0
"Sgk3",0,0,-0.000162456369600808,0,0,0
"Mcmdc2",0,0.000213732874464676,0.00572690366118168,0,0,0
"Snhg6",0,3.68187351315807e-06,0,0,0,0
"Tcf24",0,0,0,0,0,0
"Ppp1r42",-0.00109329458948917,0,0,0,0,0
"Gm15818",0,0,0,0,0,0
"Cops5",0,-0.000453169566349659,0,0,0,0
"Cspp1",0,0,0,0,0,0
"Arfgef1",0,0.000371486967415606,0,0,0,0
"Cpa6",0,0,0,0,0,0
"Prex2",0,0,0,0,0,0
"A830018L16Rik",0,0,0,0,0,0
"Gm17644",0,0,0,0,0,0
"Gm29663",0,0,0,0,0,0
"Sulf1",0,0,0,-0.00086631621072384,0,0
"Slco5a1",0,0,0,0,0,0
"Gm29283",0,0,0,0,0,0
"Prdm14",0,0,0,0,0,0
"Ncoa2",0,0,0,0,0,0
"Gm29570",0,0,0,0,0,0
